Time, Position, Rotation
08:48:48:855,(0.516. 1.159. 1.798),(-0.338. -0.093. 0.031. 0.936)
08:48:49:86,(0.553. 1.160. 1.810),(-0.333. 0.034. 0.024. 0.942)
08:48:50:865,(0.604. 1.151. 1.827),(-0.294. -0.049. 0.007. 0.954)
08:48:51:871,(0.632. 1.167. 1.816),(-0.437. 0.213. 0.166. 0.858)
08:48:52:877,(0.632. 1.150. 1.808),(-0.305. 0.433. 0.193. 0.826)
08:48:53:881,(0.558. 1.160. 1.787),(-0.382. -0.074. -0.006. 0.921)
08:48:54:886,(0.481. 1.160. 1.805),(-0.348. -0.116. 0.045. 0.929)
08:48:55:892,(0.527. 1.161. 1.789),(-0.351. -0.077. 0.018. 0.933)
08:48:56:898,(0.491. 1.158. 1.795),(-0.345. 0.006. 0.068. 0.936)
08:48:57:903,(0.553. 1.152. 1.813),(-0.318. 0.032. -0.017. 0.947)
08:48:58:908,(0.485. 1.153. 1.832),(-0.304. 0.057. 0.067. 0.949)
08:48:59:915,(0.561. 1.156. 1.808),(-0.335. -0.027. -0.037. 0.941)
08:49:00:919,(0.495. 1.156. 1.811),(-0.347. 0.029. 0.039. 0.937)
08:49:01:923,(0.568. 1.152. 1.821),(-0.294. -0.008. 0.024. 0.956)
08:49:02:929,(0.504. 1.157. 1.818),(-0.327. 0.030. 0.059. 0.943)
08:49:03:935,(0.527. 1.156. 1.824),(-0.297. -0.005. 0.073. 0.952)
08:49:04:94,(0.540. 1.152. 1.824),(-0.281. 0.000. -0.016. 0.960)
08:49:05:945,(0.539. 1.155. 1.820),(-0.293. -0.004. 0.032. 0.955)
08:49:06:95,(0.529. 1.151. 1.818),(-0.280. 0.051. -0.035. 0.958)
08:49:07:957,(0.521. 1.155. 1.817),(-0.341. -0.047. 0.012. 0.939)
08:49:08:961,(0.512. 1.155. 1.819),(-0.348. -0.029. 0.051. 0.936)
08:49:09:971,(0.575. 1.147. 1.803),(-0.334. 0.013. -0.052. 0.941)
08:49:10:971,(0.530. 1.153. 1.791),(-0.338. 0.032. 0.064. 0.939)
08:49:11:978,(0.506. 1.152. 1.800),(-0.307. -0.097. 0.086. 0.943)
08:49:12:986,(0.550. 1.158. 1.813),(-0.333. -0.026. 0.026. 0.942)
08:49:13:99,(0.492. 1.154. 1.810),(-0.331. -0.036. 0.069. 0.940)
08:49:14:992,(0.550. 1.155. 1.821),(-0.311. 0.071. 0.012. 0.948)
08:49:15:999,(0.598. 1.144. 1.824),(-0.219. 0.131. 0.014. 0.967)
08:49:17:004,(0.564. 1.157. 1.837),(-0.305. -0.041. 0.020. 0.951)
08:49:18:012,(0.494. 1.159. 1.816),(-0.339. -0.054. 0.043. 0.938)
08:49:19:014,(0.502. 1.157. 1.828),(-0.325. -0.025. 0.035. 0.945)
08:49:20:02,(0.537. 1.153. 1.828),(-0.312. -0.027. 0.091. 0.945)
08:49:21:025,(0.549. 1.156. 1.822),(-0.316. -0.003. 0.058. 0.947)
08:49:22:031,(0.497. 1.155. 1.822),(-0.312. 0.000. 0.038. 0.949)
08:49:23:037,(0.559. 1.150. 1.811),(-0.308. 0.067. 0.059. 0.947)
08:49:24:041,(0.507. 1.128. 1.866),(-0.119. -0.111. 0.091. 0.982)
08:49:25:05,(0.561. 1.148. 1.817),(-0.320. 0.079. 0.024. 0.944)
08:49:26:052,(0.514. 1.153. 1.808),(-0.324. 0.042. 0.111. 0.939)
08:49:27:057,(0.535. 1.157. 1.796),(-0.361. -0.096. 0.052. 0.926)
08:49:28:063,(0.511. 1.156. 1.809),(-0.325. -0.016. 0.051. 0.944)
08:49:29:068,(0.501. 1.153. 1.812),(-0.327. 0.006. 0.061. 0.943)
08:49:30:075,(0.527. 1.122. 1.839),(-0.095. 0.015. 0.036. 0.995)
08:49:31:078,(0.536. 1.143. 1.833),(-0.233. 0.004. 0.059. 0.971)
08:49:32:084,(0.536. 1.152. 1.811),(-0.302. -0.004. 0.038. 0.952)
08:49:33:09,(0.530. 1.153. 1.809),(-0.321. -0.002. 0.034. 0.947)
08:49:34:095,(0.526. 1.142. 1.816),(-0.211. 0.021. 0.052. 0.976)
08:49:35:1,(0.532. 1.125. 1.848),(-0.123. 0.048. 0.077. 0.988)
08:49:36:108,(0.537. 1.153. 1.820),(-0.328. -0.026. 0.019. 0.944)
08:49:37:111,(0.541. 1.149. 1.814),(-0.309. -0.021. 0.029. 0.950)
08:49:38:115,(0.532. 1.151. 1.819),(-0.302. -0.020. 0.059. 0.951)
08:49:39:121,(0.530. 1.153. 1.820),(-0.311. 0.010. 0.048. 0.949)
08:49:40:13,(0.604. 1.147. 1.823),(-0.310. -0.034. 0.005. 0.950)
08:49:41:133,(0.739. 1.151. 1.819),(-0.326. -0.169. 0.027. 0.930)
08:49:42:137,(0.884. 1.133. 1.841),(-0.201. -0.376. 0.022. 0.904)
08:49:43:142,(1.040. 1.145. 1.838),(-0.234. -0.324. -0.142. 0.906)
08:49:44:152,(0.945. 1.138. 1.858),(-0.260. -0.163. -0.137. 0.942)
08:49:45:153,(0.653. 1.121. 1.879),(-0.160. 0.155. -0.086. 0.971)
08:49:46:158,(0.551. 1.152. 1.860),(-0.340. -0.062. 0.074. 0.935)
08:49:47:165,(0.601. 1.152. 1.871),(-0.316. -0.050. 0.039. 0.947)
08:49:48:169,(0.601. 1.155. 1.865),(-0.380. -0.057. 0.018. 0.923)
08:49:49:178,(0.629. 1.148. 1.855),(-0.276. -0.068. 0.077. 0.956)
08:49:50:179,(0.826. 1.150. 1.768),(-0.321. -0.190. 0.070. 0.925)
08:49:51:185,(0.983. 1.145. 1.744),(-0.312. -0.249. 0.071. 0.914)
08:49:52:191,(0.958. 1.112. 1.800),(-0.063. -0.395. -0.041. 0.916)
08:49:53:197,(0.839. 1.139. 1.794),(-0.232. -0.105. -0.116. 0.960)
08:49:54:201,(0.601. 1.143. 1.817),(-0.278. -0.015. -0.080. 0.957)
08:49:55:21,(0.414. 1.152. 1.787),(-0.361. 0.027. 0.021. 0.932)
08:49:56:212,(0.453. 1.148. 1.809),(-0.312. 0.031. 0.117. 0.942)
08:49:57:218,(0.592. 1.154. 1.841),(-0.355. -0.062. 0.073. 0.930)
08:49:58:222,(0.674. 1.150. 1.772),(-0.317. -0.122. 0.030. 0.940)
08:49:59:231,(0.732. 1.120. 1.713),(-0.112. -0.141. -0.039. 0.983)
08:50:00:237,(0.710. 1.144. 1.738),(-0.292. -0.128. -0.004. 0.948)
08:50:01:239,(0.539. 1.149. 1.807),(-0.340. -0.026. 0.023. 0.940)
08:50:02:244,(0.544. 1.150. 1.784),(-0.327. 0.017. 0.084. 0.941)
08:50:03:249,(0.578. 1.145. 1.797),(-0.273. -0.017. 0.071. 0.959)
08:50:04:254,(0.614. 1.130. 1.824),(-0.181. -0.002. -0.036. 0.983)
08:50:05:26,(0.623. 1.145. 1.791),(-0.307. -0.062. 0.018. 0.950)
08:50:06:266,(0.566. 1.148. 1.794),(-0.291. -0.025. 0.054. 0.955)
08:50:07:274,(0.562. 1.146. 1.797),(-0.282. -0.015. 0.043. 0.958)
08:50:08:277,(0.613. 1.147. 1.758),(-0.297. -0.033. 0.076. 0.951)
08:50:09:281,(0.779. 1.140. 1.724),(-0.263. -0.140. 0.088. 0.951)
08:50:10:287,(0.762. 1.143. 1.740),(-0.311. -0.122. 0.013. 0.942)
08:50:11:294,(0.541. 1.139. 1.842),(-0.286. 0.186. -0.032. 0.939)
08:50:12:298,(0.359. 1.138. 1.940),(-0.221. 0.303. 0.072. 0.924)
08:50:13:303,(0.374. 1.147. 1.916),(-0.277. 0.117. 0.159. 0.940)
08:50:14:307,(0.656. 1.147. 1.742),(-0.351. -0.101. 0.074. 0.928)
08:50:15:316,(0.832. 1.142. 1.686),(-0.273. -0.152. 0.039. 0.949)
08:50:16:319,(0.778. 1.148. 1.719),(-0.318. -0.134. -0.020. 0.938)
08:50:17:324,(0.539. 1.153. 1.835),(-0.338. 0.007. 0.039. 0.940)
08:50:18:329,(0.496. 1.151. 1.892),(-0.313. -0.022. 0.104. 0.944)
08:50:19:335,(0.693. 1.153. 1.743),(-0.351. -0.131. 0.027. 0.927)
08:50:20:34,(0.788. 1.146. 1.679),(-0.267. -0.121. -0.010. 0.956)
08:50:21:345,(0.803. 1.143. 1.670),(-0.236. -0.138. -0.008. 0.962)
08:50:22:35,(0.806. 1.146. 1.659),(-0.263. -0.144. -0.024. 0.954)
08:50:23:357,(0.802. 1.146. 1.665),(-0.256. -0.157. -0.001. 0.954)
08:50:24:362,(0.823. 1.143. 1.663),(-0.278. -0.148. -0.050. 0.948)
08:50:25:368,(0.776. 1.147. 1.706),(-0.337. -0.197. -0.068. 0.918)
08:50:26:377,(0.590. 1.148. 1.800),(-0.363. -0.115. -0.033. 0.924)
08:50:27:377,(0.542. 1.148. 1.802),(-0.371. -0.098. 0.035. 0.923)
08:50:28:383,(0.784. 1.148. 1.704),(-0.353. -0.157. 0.002. 0.922)
08:50:29:388,(0.927. 1.133. 1.628),(-0.220. -0.273. -0.021. 0.936)
08:50:30:394,(0.970. 1.141. 1.596),(-0.267. -0.273. -0.041. 0.923)
08:50:31:399,(0.929. 1.134. 1.646),(-0.206. -0.210. -0.039. 0.955)
08:50:32:405,(0.761. 1.152. 1.762),(-0.358. -0.130. 0.013. 0.924)
08:50:33:409,(0.651. 1.109. 1.858),(-0.139. -0.557. 0.087. 0.814)
08:50:34:414,(0.786. 1.141. 1.782),(-0.284. -0.240. 0.011. 0.928)
